Author,Affiliation
Cheng Chi,"National Chi Nan University, Taiwan"
Tao Mei,"Cloud & AI, JD.COM"
Yong Guo,National Chung Cheng University
Yin Zheng,Peking University
Peilin Zhao,Tencent
Jian Chen,"Associate Professor of Institute of Electronics, Chinese Academy of Sciences"
Junzhou Huang,Associate Professor of Computer Science and Engineering at University of Texas at …
Mingkui Tan,South China University of Technology
Maria Gorinova,University of Edinburgh
Dave Moore,"Professor of Molecular and Cellular Biology, Baylor College of Medicine"
Matt Hoffman,"Research Scientist, Google Research"
Abhimanyu Dubey,Massachusetts Institute of Technology
Alex `Sandy' Pentland,Professor MIT
Hanrui Zhang,Columbia University Irving Medical Center
Vincent Conitzer,Duke University
Utku Evci,Research Engineer @Google Brain
Trevor Gale,University of Glasgow
Jacob Menick,Google
Pablo Samuel Castro,Google
Erich Elsen,Google AI
Florence Regol,Mcgill University
Soumyasundar Pal,"PhD student, McGill University"
Yingxue Zhang,"Huawei Noah's Ark Lab, McGill University"
Mark Coates,"Professor of Electrical Engineering, McGill University"
Juan Perdomo,Senior Research Associate
University of California Moritz Hardt,"University of California, Berkeley"
Yunchang Yang,Peking University
Di He,"Professor, Institute of Environmental and Ecological Engineering, Guangdong University of …"
Kai Zheng,"Chief Architect, Protocol & Networking Research, Huawei Technologies"
Shuxin Zheng,Microsoft
Chen Xing,"Merck & Co. Inc., Kenilworth, NJ, USA"
Huishuai Zhang,Microsoft Research Asia
Yanyan Lan,Chinese Academy of Sciences
Liwei Wang,Peking University
Tie-Yan Liu,"Assistant Managing Director, Microsoft Research Asia; IEEE Fellow, ACM Distinguished …"
Mukund Sundararajan,Google
Amir Najmi,Google Inc
Daoli Zhu,"Professor, Shanghai Jiaotong University"
Lei Zhao,复旦大学物理系
Giuseppe Vietri,"Graduate Student, University of Minnesota"
Mark Bun,"Assistant Professor, Boston University"
Thomas Steinke,Zuse Institute Berlin
Grace Tian,Harvard College '22
Seth Neel,Assistant Professor at Harvard
Aaron Roth,"Professor of Computer Science, University of Pennsylvania"
Yi-Hsuan Wu,ETH Zurich
Mingjie Li,"Department of Applied Physics, Hong Kong Polytechnic University"
Lingshen He,peking university
Zhouchen Lin,"Professor, Peking University; Fellow of IEEE & IAPR"
Zixin Zhong,"Ph.D candidate of Math department, National University of Singapore"
Wang Chi Cheung,Chung Yuan Christian University
Vincent Tan,National University of Singapore
Yuhao Zhang,"Assistant Professor, CPES, Virginia Tech"
Aws Albarghouthi,University of Wisconsin–Madison
Loris D'Antoni,"University of Wisconsin, Madison"
Yoel Drori,Google Inc.
Ohad Shamir,Weizmann Institute of Science
Zhaoqiang Liu,"Research Fellow in SoC, NUS"
Selwyn Gomes,"Research Assistant, National University of Singapore"
Avtansh Tiwari,IIT Kanpur
Jonathan Scarlett,"Assistant Professor of Computer Science and Mathematics, National University of Singapore"
Chen Dan,… of Computer Information and Network Engineering Lunghwa University of Science and
Justin Khim,"Assistant Professor of Psychology, Sungkyunkwan University"
Pradeep Ravikumar,"Associate Professor, School of Computer Science, Carnegie Mellon University"
Yanxi Li,Virginia Tech
Minjing Dong,Professor of China University of Mining and Technology
Bingcong Li,University of Minnesota
Lingda Wang,"Professor/Director, Center for Genomics, Loma Linda University"
Georgios B. Giannakis,"Endowed Chair Prof., Dept. of ECE and DTC, University of Minnesota"
Liu Leqi,"Ph.D. Student, Machine Learning Department, School of Computer Science, Carnegie …"
Adarsh Prasad,Technische Universität Wien
Jungo Kasai,University of Washington
James Cross,University of Calgary
Marjan Ghazvininejad,"Research Scientist, FAIR (Facebook AI Research)"
Jiatao Gu,"Research Scientist, Facebook AI Research"
Ying Huang,Chair Professor @ National Taiwan University of Science and Technology
Wenwei Zhang,Chung Shan Medical University
Xianghui Luo,nan
Jinzhuo Wang,University of Oxford
David Simchi-Levi,Professor of Engineering Systems at MIT
Ruihao Zhu,MIT
Aadirupa Saha,"PhD student, Indian Institute of Science (IISc), Bangalore"
Pierre Gaillard,CNRS
Michal Valko,"DeepMind, Paris & Inria, SCOOL & ENS, MVA"
Aditya Gopalan,"Indian Institute of Science, Bangalore"
Ferjad Naeem,"Graduate Student, Technische Universität München"
Yunjey Choi,"Clova AI Research, NAVER Corp."
Youngjung Uh,"Clova AI Research, NAVER"
Jaejun Yoo,"Postdoctoral researcher,  Laboratoire d'imagerie biomédicale (LIB), EPFL"
Xiangyu Xu,Carnegie Mellon University
Yongrui Ma,"researcher of cv, sensetime research"
Wenxiu Sun,The Hong Kong University of Science and Technology
Joeri Hermans,University of Liège
Volodimir Begy,"Doctoral Student, University of Vienna"
Jingfeng Zhang,IIASA
Bo Han,Aalborg University
Gang Niu,National Institutes of Health
Lizhen Cui,Shandong University
Masashi Sugiyama,"Director, RIKEN Center for Advanced Intelligence Project / Professor, The University of …"
Mohan Kankanhalli,"Professor of Computer Science, National University of Singapore"
Shangtong Zhang,University of Oxford
Bo Liu,Research assistant in Center for Photonics Technology of Virginia Tech.
Shimon Whiteson,"Professor of Computer Science, University of Oxford"
Hengshuai Yao,Huawei
Raphaël Dang-Nhu,ETH Zürich
Gagandeep Singh,"Professor of Surgery, City of Hope"
Pavol Bielik,ETH Zurich
Martin Vechev,"Professor of Computer Science, ETH Zurich"
Baifeng Shi,"Undergraduate, Peking University"
Dinghuai Zhang,Peking University
Qi Dai,"Professor, Department of Medicine, Vanderbilt University Medical Center"
Jingdong Wang,Microsoft Research
Zhanxing Zhu,"Assistant Professor, Peking University"
Yadong Mu,Peking University
Wenhui Yu,"Ph.D, Nanyang Technological University"
Zheng Qin,Chong Qing Obstetric and Gynecology Hospital
Sebastian Prillo,"PhD student, University of California, Berkeley"
Julian M Eisenschlos,"AI Resident, Google"
Michael Lohaus,University of Tübingen
Michaël Perrot,Invensense
Ulrike von Luxburg,University of Tübingen
Alexander Bogatskiy,"Department of Fine Organic Synthesis, AV Bogatsky Physico-Chemical Institute, National …"
Brandon Anderson,University of Stockholm
David Miller,"James Irvin Miller Professor of Accounting, Stanford Graduate School of Business"
Risi Kondor,"Associate Professor, The University of Chicago"
Yue Sheng,"Department of Pharmacology & Therapeutics, Roswell Park Cancer Institute"
Edgar Dobriban,"Assistant Professor of Statistics, University of Pennsylvania"
Lan N. Nguyen,Student
My T. Thai,"Professor, University of Florida"
Voot Tangkaratt,"Postdoc researcher @ RIKEN AIP, Japan."
Xin Su,Shanghai University
Yizhou Jiang,University of Pennsylvania
Feng Chen,Fung Yiu King - Wing Hang Bank Professor in Business Administration and Chair Professor …
Jay Heo,Yonsei University College of Medicine
Junhyeon Park,"University of Maryland, College Park"
Hyewon Jeong,Chungbuk National University College of Medicine
Kwang Joon Kim,"Yonsei University College of Medicine, Severance Hospital"
Juho Lee,Samsung Electronics
Sung Ju Hwang,Yonsei University
Wenqi Shao,"PhD Student of Electronic Engeenring, The Chinese University of Hong Kong"
Shitao Tang,simon fraser univeristy
Xingang Pan,The Chinese University of Hong Kong
Ping Tan,"Professor, Institute of Semiconductors, Chinese Academy of Sciences"
Xiaogang Wang,"Associate Professor of Electronic Engineering, the Chinese University of Hong Kong"
Ping Luo,"Assistant Professor, The University of Hong Kong"
Michael Moor,"Michael Smith Genome Sciences Centre, BC Cancer"
Max Horn,Fritz Haber Institut Max Planck Gesellschaft
Bastian Rieck,"Machine Learning & Computational Biology Lab, D-BSSE, ETH Zürich"
Karsten Borgwardt,Professor of Machine Learning in the Life Sciences at ETH Zurich
Yuwen Chen,"Professor of Chemical Engineering, National Central University"
Kedar Dhamdhere,Google
Ashish Agarwal,Google
Rachel Cummings,Georgia Institute of Technology
Yuliia Lut,"Ph. D. student, Georgia Institute of Technology"
Wanrong Zhang,Georgia Institute of Technology
Wei Zhang,The Comprehensive Cancer Center of Wake Forest Baptist Medical Center
Thomas  Panum,Aalborg University
Somesh Jha,"Lubar Chair of Computer Science, University of Wisconsin"
PRASAD Chalasani,"SVP, Data Science, MediaMath"
David Page,"Director, Whitehead Institute"
Pingchuan Ma,Imperial College London
Tao Du,"Laboratory of Mathematics, INSA-Rouen, Normandie, 76801 Saint-Étienne-du-Rouvray …"
Wojciech Matusik,MIT
Wei Ping,"School of Information Science and Engineering, Central South University"
Kainan Peng,Amazon
Kexin Zhao,University of Hong Kong
Zhao Song,"The University of Queensland, Qingdao University"
Yaodong Yang,Xi'an jiaotong university
Ying Wen,"Chemistry and Biochemistry, Northern Illinois University"
Jun Wang,BGI
Liheng Chen,"Department of Biomedical Engineering, Jinan University, Guangzhou, China"
Kun Shao,Dalian University of Technology
Weinan Zhang,"Associate Professor, Shanghai Jiao Tong University"
Gamaleldin Elsayed,"Research Scientist, Google Research, Brain Team"
Prajit Ramachandran,Google Brain
Jon Shlens,Google Research
Simon Kornblith,Google Brain
Masatoshi Uehara,Harvard University
Chanwoo Lee,"Assistant Professor, Department of Applied Chemistry, Kookmin University"
Siddharth Reddy,nan
Anca Dragan,UC Berkeley
Sergey Levine,"UC Berkeley, Google"
Jan Leike,Senior Research Scientist at DeepMind
Yuta Saito,"Senior Researcher, National Institute of Advanced Industrial Science and Technology"
Shota Yasui,"CyberAgent, inc."
Rundong Wang,"Ph.D. student of Computer Science, Nanyang Technological University"
Xu He,"Professor of Structure Biology, Van Andel Research Institute, VARI-SIMM Center, Shanghai …"
Wei Qiu,"Department of Electrical and Computer Engineering, National University of Singapore"
Bo An,Physics and Astronomy Department University of Bologna
Zinovi Rabinovich,Nanyang Technological University
XICHUAN ZHOU,Sichuan University
Fengbo Ren,"Assistant Professor, Arizona State University"
Cong Shi,"School of Computer Science, Georgia Institute of Technology"
Xingrui Yu,Ph.D Student @ University of Technology Sydney (UTS)
QUANMING YAO,"Senior Scientist & Research Head, 4Paradigm"
Miao Xu,"University of Utah, Fudan University"
Ivor Tsang,"Research Director & Professor of AI, Centre for AI, University of Technology Sydney"
Kefan Dong,Tsinghua University
Yingkai Li,Northwestern University
Qin Zhang,Chong Qing Obstetric and Gynecology Hospital
Yuan Zhou,"Zhou Pei-Yuan Center for Applied Mathematics, Tsinghua University"
Di Chen,Fondazione Istituto Italiano di Tecnologia
Wenting Zhao,"Nanyang Technological University, Stanford University, HKUST"
Sebastian Ament,"PhD Student, Cornell University"
John Gregoire,nan
Carla Gomes,Universidade Federal de Pernambuco
John Alberg,"Professor of Genetics, Albert Einstein College of Medicine"
Zachary Lipton,Assistant Professor of Operations Research & Machine Learning at CMU
Mohit Singh,stealth start-up
Alfredo Torrico,"Postdoc, Polytechnique Montreal"
Allen Wang,MD Anderson Cancer Center
Yaoliang Yu,University of Waterloo
Somdeb Majumdar,Intel Corp
Stephen Mcaleer,"PhD Student, UC Irvine"
Kagan Tumer,Oregon State University
Paolo Ferragina,"Professor of Algorithms, Dept. Computer Science, University of Pisa"
Fabrizio Lillo,Università di Bologna
Giorgio Vinciguerra,"PhD Student, Università di Pisa"
Bin Gu,"Professor, Boston University"
Heng Huang,"John A. Jurenko Endowed Professor, Electrical and Computer Engineering, University of …"
Trevor Standley,Stanford University
Amir Zamir,"Stanford, UC Berkeley"
Dawn Chen,"University of California, Berkeley"
Leonidas Guibas,"Professor of Computer Science, Stanford University"
Jitendra Malik,"Professor of EECS, UC Berkeley"
Silvio Savarese,Associate Professor of Computer Science at Stanford University
Hien Le,"Faculty of Mathematics and Informatics, Hanoi National University of Education"
Nicolas Gillis,"Associate Professor, University of Mons"
Panagiotis Patrinos,"Assistant Professor, KU Leuven"
Divyam Madaan,"School of Computing, KAIST"
Jinwoo Shin,"Associate Professor, KAIST AI & EE"
Roberto Henschel,"Indiana University, Technische Universität Dresden, Technical University Dresden, Dresden …"
Bodo Rosenhahn,Leibniz Universität Hannover
Paul Swoboda,Max Planck Institute for Informatics
Agustinus Kristiadi,University of Tübingen
Matthias Hein,"Professor of Computer Science, University of Tübingen"
Philipp Hennig,University of Tübingen & Max Planck Institute for Intelligent Systems
Praneeth Karimireddy,"PhD student, EPFL"
Satyen Kale,"Staff Research Scientist, Google Research"
Mehryar Mohri,"Professor of Computer Science and Mathematics, Courant Institute of Mathematical …"
Sebastian Stich,"Research Scientist, EPFL"
Ananda Theertha Suresh,"Senior Research Scientist, Google New York"
Hadrien Hendrikx,INRIA - Ecole Normale Supérieure
Lin Xiao,Microsoft Research
Sebastien Bubeck,"Sr Principal Researcher, Microsoft Research"
Francis Bach,Inria - Ecole Normale Supérieure
Laurent Massoulié,"Inria, MSR-Inria Joint Centre"
Hui Ye,University of California Santa Barbara
Zhiyu Chen,"Seagate Technology, PLC"
Da-Han Wang,"School of Computer and Information Engineering, Xiamen University of Technology, Fujian …"
Brian D Davison,"Associate Professor of Computer Science and Engineering, Lehigh University"
Ahmed Alaa,القانون الخاص
Mihaela van der Schaar,"University of Cambridge, The Alan Turing Institute, UCLA"
Lechao Xiao,Google Brain
Jeffrey Pennington,Google Brain
Samuel Schoenholz,Google Brain
Yucheng Lu,"PhD Student, Lund University"
Christopher De Sa,"Assistant Professor of Computer Science, Cornell University"
Amr Mohamed Alexandari,Stanford University
Anshul Kundaje,"Assistant Professor, Dept. of Genetics, Dept. of Computer Science, Stanford University"
Avanti Shrikumar,Stanford University
Chaosheng Dong,University of Pittsburgh
Bo Zeng,The Chinese University of Hong Kong
Mohamed El Amine Seddik,Ph.D. Student at CEA
Cosme Louart,"GIPSA-lab, Grenoble INP / List, CEA"
Mohamed Tamaazousti,Researcher at CEA LIST
Romain  COUILLET,"UGA IDEX DataScience Chair, GIPSA-lab, University Grenoble-Alpes"
Xinyi Wang,Baylor College of Medicine; University of Southern California
Hieu Pham,"Google Brain, Carnegie Mellon University"
Paul Michel,Joesphine Bay Paul Center at the MBL
Antonios  Anastasopoulos,Carnegie Mellon University
Jaime Carbonell,"Professor of Computer Science, Carnegie Mellon University"
Graham Neubig,"Associate Professor of Computer Science, Carnegie Mellon University"
Lior Shani,nan
Yonathan Efroni,"Ph.D. student, Technion"
Aviv Rosenberg,Professor of Microbiology tel Aviv university
Shie Mannor,"Professor of Electrical Engineering, Technion"
Xingyu Xie,"Ph.D. Candidate, School of EECS, Peking University"
Hao Kong,"Professor of Applied Physics, Hong Kong Polytechnic University （香港理工大学）"
Jianlong Wu,Civil Engineering， Shenzhen University
Wayne Zhang,Wayne State University
Guangcan Liu,Professor of Nanjing University of Information Science & Technology
Haipeng Luo,University of Southern California
Suvrit Sra,MIT
Tiancheng Yu,everbright photonics
Wenkai Xu,"KAIST, Korea"
Tamara Fernandez,"Ph D at Complutense University, Madrid, Spain"
Nicolas Rivera,Universidad Michoacana de San Nicolas de Hidalgo
Arthur Gretton,"Gatsby Computational Neuroscience Unit, UCL"
Raghavendra Addanki,University of Massachusetts Amherst
Shiva Kasiviswanathan,Amazon Machine Learning
Andrew McGregor,"University of Massachusetts, Amherst"
Cameron Musco,"Assistant Professor, University of Massachusetts Amherst"
Chuan Guo,Southern University of Science and Technology (SUSTech)
Tom Goldstein,"Perotto Associate Professor of Computer Science, University of Maryland"
Awni Hannun,Facebook AI Research
Laurens van der Maaten,"Research Director, Facebook AI Research"
Abhiram Gnanasambandam,Purdue University
Stanley Chan,RMIT University
Marc Brockschmidt,"Researcher, Microsoft Research"
Vincent Dutordoir,PROWLER.io
Nicolas Durrande,Director of Research - PROWLER.io
James Hensman,"Principal scientist, Amazon"
James Kostas,"BEST, Merck & Co."
Chris Nota,"University of Massachusetts, Amherst"
Philip Thomas,Professor UT Southwestern
Juntang Zhuang,"Biomedical Engineering, Yale University"
Nicha Dvornek,"Assistant Professor, Radiology & Biomedical Imaging, Yale University"
Xiaoxiao Li,The Chinese University of Hong Kong
Xenophon Papademetris,Yale University
James Duncan,"Professor of Biomedical Engineering, Radiology, Electrical Engineering, Yale University"
Yao Liu,nan
Pierre-Luc Bacon,University of Montreal
Emma Brunskill,"Assistant Professor of Computer Science, Stanford University"
Yunhao Tang,"PhD student, Columbia University"
Remi Munos,DeepMind
Shipra Agrawal,Columbia university
Yuri Faenza,"Assistant Professor, IEOR, Columbia University"
Akifumi Wachi,IBM Research AI
Yanan Sui,Tsinghua University
Hu Ding,Shanghai University
Xuanqing Liu,"University of California, Los Angeles"
Hsiang-Fu Yu,"Computer Science, University of Texas at Austin"
Inderjit Dhillon,"Amazon Fellow and Gottesman Family Centennial Professor, CS Dept, UT Austin"
Cho-Jui Hsieh,"University of California, Los Angeles"
Jia Lv,University of Southern California
Zhen Qin,nan
Guodong Li,University of Hong Kong
Wenbin Lu,"Professor of Statistics, North Carolina State University"
Rui Song,North Carolina State University
Liqun Chen,"Professor, University of Surrey, UK"
Zhe Gan,"Senior Researcher, Microsoft"
Yu Cheng,Professor Department of Pharmacy National University of Singapore
Linjie Li,"Postdoc in Epithelial Biology Program, Stanford University"
Lawrence Carin,"Professor of Electrical and Computer Engineering, Duke University"
Jingjing Liu,National University of Singapore
Han Zhang,"Professor and Director, Email: hzhang@szu.edu.cn"
Xi Gao,"Frontier Institute of Science and Technology (FIST), Xi'an Jiaotong University (XJTU)"
Nina Balcan,"Associate Professor, School of Computer Science, Carnegie Mellon University"
Tuomas Sandholm,"Angel Jordan University Professor of Computer Science, Carnegie Mellon University"
Ellen Vitercik,Carnegie Mellon University
Ferdinando Cicalese,"Associate Professor of Computer Science, University of Verona"
Francisco S de Freitas Filho,"Aluno de mestrado em computação, Universidade Federal do Ceará"
Eduardo Laber,PUC-RIO
Marco Molinaro,PUC-Rio
Laura Rieger,Technical University of Denmark - DTU
Chandan Singh,"Student  of MCA ,KIIT University,Bhuneswar Orissa"
William Murdoch,IBM
Bin Yu,"Professor of Statistics and EECS, UC Berkeley"
Yinjun Wu,Amazon Web Services
Pierre C Bellec,Rutgers - Department of Statistics
Dana Yang,"Boston university, Dana-Farber Cancer Institute"
Kaito Fujii,National Institute of Informatics
Yunwen Lei,University of Kaiserslautern
Yiming Ying,"Department of Mathematics and Statistics, University at Albany, SUNY"
Yuko Kuroki,The University of Tokyo
Atsushi Miyauchi,University of Tokyo
Junya Honda,The University of Tokyo / RIKEN
Ali AhmadiTeshnizi,Sharif University of Tech
Saber Salehkaleybar,"EE Department, Sharif University of Technology"
Negar Kiyavash,University of Illinois at Urbana-Champaign
Zijun Zhang,"Associate Professor, City University of Hong Kong"
Ruixiang ZHANG,nan
Zongpeng Li,"Department of Computer Science, University of Calgary"
Yoshua Bengio,"Professor, University of Montreal (Computer Sc. & Op. Res.), Mila, CIFAR, CRM, IVADO …"
Liam Paull,Assistant Professor - University of Montreal
Yuxin Wen,The University of Texas at El Paso
Shuai Li,"Associated Professor, Tianjin Medical University Cancer Institute and Hospital"
Kui Jia,South China University of Technology
Xiang Cheng,"Professor of Wireless Communications, Heriot-Watt University"
Dong Yin,nan
Peter Bartlett,"Professor, EECS and Statistics, UC Berkeley"
Tonghan Wang,"Master Student in IIIS, Tsinghua University"
Heng Dong,"Professor, School of Aeronautics, Northwestern Polytechnical University"
Victor Lesser,"School of Computer Science, University of Massachusetts Amherst"
Chongjie Zhang,Tsinghua University
Martin Bertran,Universidad de San Martin de Porras
Natalia Martinez,"DVM, MPVM, PhD"
Guillermo Sapiro,Duke University
Yunzong Xu,MIT
Mor Sinay,PhD
yoram louzoun,Bar Ilan University
Noa Agmon,"Associate Professor, Bar-Ilan University, Israel"
Sarit Kraus,"Professor Of Computer Science, Bar-Ilan University"
Gaurush Hiranandani,University of Illinois Urbana-Champaign
Warut Vijitbenjaronk,University of Illinois Urbana-Champaign
Sanmi Koyejo,"Assistant Professor, University of Illinois at Urbana-Champaign"
Leon Sixt,"PhD Student, Frei Universität Berlin"
Maximilian Granz,Max-Planck-Institut für Eisenforschung
Tim Landgraf,"Dept. of Mathematics and Computer Science, Free University Berlin"
Max Simchowitz,UC Berkeley
Dylan Foster,MIT
Katsuhiko Ishiguro,Preferred networks
Masanori Koyama,Ritsumeikan University
Neale Ratzlaff,Oregon State University
Qinxun Bai,Horizon Robotics Inc.
Fuxin Li,Oregon State University
Wei Xu,"Princess Margaret Cancer Centre, University of Toronto"
Jie Xu,"State Key Laboratory of Catalysis, Dalian National Laboratory for Clean Energy, Dalian …"
Yunsheng Tian,Massachusetts Institute of Technology
Daniela Rus,"Andrew (1956) and Erna Viterbi Professor of Computer Science, MIT"
Shinjiro Sueda,Texas A&M University
Soham Dan,University of Pennsylvania
Bhaswar B. Bhattacharya,"Department of Statistics, University of Pennsylvania"
Takeshi Teshima,The University of Tokyo / RIKEN
Issei Sato,University of Tokyo
Weiwei Liu,"Institute of Modern Optics, Nankai University"
Xuemin Lin,UNSW Scientia Professor
Ran Haba,nan
Ehsan Kazemi,Google
Moran Feldman,University of Haifa
Amin Karbasi,Yale University
Risheng Liu,"Professor, School of ISE, Dalian University of Technology"
Pan Mu,"School of Computer and software, Nanjing University of Information Science and …"
Xiaoming Yuan,The University of Hong Kong
Jin Zhang,Georgia State University
Marwa El Halabi,"Postdoctoral associate, CSAIL, MIT"
Stefanie Jegelka,MIT
Jiani Huang,"PhD student, Duke University"
Calvin Smith,"Griffith University, University of Queensland"
Osbert Bastani,University of Pennsylvania
Rishabh Singh,"Research Scientist, Google Brain"
Mayur Naik,"Professor of Computer Science, University of Pennsylvania"
